Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
Ryan Burl,Death,32,35,1,2,1,0,91.43,2.86,5.71,28.57,0.257,Low,allrounder
Ryan Burl,Middle,73,61,12,2,10,2,119.67,19.67,3.28,49.18,0.299,Low,allrounder
Ryan Campbell,Powerplay,39,47,6,3,6,0,82.98,12.77,6.38,59.57,0.215,Low,wicketkeeper batter
Ryan ten Doeschate,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,allrounder
Saad Bin Zafar,Death,7,10,1,1,1,0,70.0,10.0,10.0,60.0,0.191,Low,allrounder
Saad Bin Zafar,Middle,5,12,0,0,0,0,41.67,0.0,0.0,58.33,0.131,Low,allrounder
Sabbir Rahman,Death,2,3,0,1,0,0,66.67,0.0,33.33,33.33,0.21,Low,middle-order batter
Sabbir Rahman,Middle,87,53,12,2,9,3,164.15,22.64,3.77,24.53,0.408,Moderate,middle-order batter
Sabbir Rahman,Powerplay,74,62,9,2,8,1,119.35,14.52,3.23,40.32,0.301,Low,middle-order batter
Sadeera Samarawickrama,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,wicketkeeper batter
Safyaan Sharif,Death,8,3,1,1,0,1,266.67,33.33,33.33,33.33,0.541,Moderate,bowler
Safyaan Sharif,Middle,4,7,0,1,0,0,57.14,0.0,14.29,42.86,0.18,Low,bowler
Saim Ayub,Powerplay,6,12,0,1,0,0,50.0,0.0,8.33,66.67,0.124,Low,top-order batter
Sam Curran,Death,11,12,1,1,0,1,91.67,8.33,8.33,50.0,0.231,Low,allrounder
Sam Curran,Middle,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,allrounder
Samiullah Shinwari,Death,53,26,9,4,7,2,203.85,34.62,15.38,23.08,0.493,Moderate,allrounder
Samiullah Shinwari,Middle,72,68,5,1,4,1,105.88,7.35,1.47,27.94,0.288,Low,allrounder
Samuel Badree,Death,2,2,0,0,0,0,100.0,0.0,0.0,0.0,0.315,Low,bowler
Sandeep Goud,Death,0,2,0,1,0,0,0.0,0.0,50.0,100.0,0.0,Low,allrounder
Sandeep Goud,Middle,9,14,0,1,0,0,64.29,0.0,7.14,50.0,0.174,Low,allrounder
Sarfaraz Ahmed,Death,22,17,1,1,1,0,129.41,5.88,5.88,11.76,0.343,Moderate,wicketkeeper batter
Scott Edwards,Death,56,50,5,6,4,1,112.0,10.0,12.0,34.0,0.291,Low,wicketkeeper batter
Scott Edwards,Middle,95,105,9,5,8,1,90.48,8.57,4.76,44.76,0.241,Low,wicketkeeper batter
Scott Edwards,Powerplay,9,8,1,0,1,0,112.5,12.5,0.0,25.0,0.317,Low,wicketkeeper batter
