Full Name,total_runs,balls_faced,total_fours,total_sixes,total_boundaries,total_wickets,strike_rate,average,dismissal_rate,boundary_pct,dot_ball_pct,vs_left_arm_fast,vs_left_arm_fast_medium,vs_left_arm_medium,vs_left_arm_mediumslow_left_arm_orthodox,vs_left_arm_medium_fast,vs_left_arm_wrist_spin,vs_legbreak,vs_legbreak_googly,vs_right_arm_fast,vs_right_arm_fast_medium,vs_right_arm_fast_mediumlegbreak,vs_right_arm_fast_mediumlegbreak_googly,vs_right_arm_medium,vs_right_arm_mediumlegbreak,vs_right_arm_mediumright_arm_offbreak,vs_right_arm_medium_fast,vs_right_arm_medium_fastright_arm_offbreak,vs_right_arm_offbreak,vs_right_arm_offbreaklegbreak,vs_right_arm_offbreaklegbreak_googly,vs_slow_left_arm_orthodox,avg_runs_death,avg_runs_middle,avg_runs_powerplay,adaptability_index,adaptability_label,run_std,consistency_index
Grant Elliott,52.0,46.0,4.0,0.0,4.0,1.0,113.04,52.0,46.0,8.7,26.09,0.0,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.7857142857142857,1.1111111111111112,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,1.2142857142857142,0.25,0.0,0.323,Low,1.0874781357122423,47.817
Gulbadin Naib,235.0,192.0,20.0,6.0,26.0,9.0,122.4,26.11,21.33,13.54,38.54,1.1875,0.4166666666666667,0.0,0.0,0.0,0.0,0.6,1.2352941176470589,0.9444444444444444,1.625,0.0,1.5,1.2727272727272727,0.0,0.0,1.7142857142857142,0.0,0.9166666666666666,0.0,0.0,0.5833333333333334,1.434782608695652,1.1037735849056605,1.1063829787234043,0.699,High,1.4590148834854184,17.896
Hardik Pandya,244.0,164.0,17.0,10.0,27.0,10.0,148.78,24.4,16.4,16.46,34.15,2.0,0.8461538461538461,0.0,0.0,2.6,0.0,0.782608695652174,0.0,1.175,1.9615384615384615,0.0,0.0,0.0,0.0,0.0,1.75,0.0,3.0,0.8571428571428571,0.0,1.1875,1.839080459770115,0.9545454545454546,0.0,0.592,Medium,1.6640110205521126,14.663
Harry Brook,78.0,73.0,4.0,1.0,5.0,5.0,106.85,15.6,14.6,6.85,38.36,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.8461538461538461,0.6923076923076923,1.1,0.75,0.0,0.0,1.6923076923076923,0.0,0.0,3.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.6111111111111112,0.8076923076923077,1.4,0.414,Medium,1.2018004511250293,12.981
Harry Tector,102.0,108.0,5.0,1.0,6.0,10.0,94.44,10.2,10.8,5.56,42.59,0.0,0.8,0.0,0.0,1.0,0.0,1.1428571428571428,0.0,0.29411764705882354,2.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.9615384615384616,0.0,0.0,0.7142857142857143,0.8666666666666667,1.0,0.7666666666666667,0.45,Medium,1.1687999683835408,8.727
Hashim Amla,114.0,88.0,13.0,3.0,16.0,3.0,129.55,38.0,29.33,18.18,35.23,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.6666666666666667,0.0,1.6428571428571428,0.0,0.0,0.8666666666666667,1.5555555555555556,1.131578947368421,1.3902439024390243,0.43,Medium,1.5841099673680277,23.988
Hazratullah Zazai,109.0,98.0,9.0,6.0,15.0,6.0,111.22,18.17,16.33,15.31,55.1,1.375,1.5714285714285714,0.0,0.0,0.6,0.0,2.3333333333333335,0.0,0.8823529411764706,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,2.75,0.0,0.0,0.5,0.0,1.0714285714285714,1.0561797752808988,0.463,Medium,1.6793161698741879,10.82
Heinrich Klaasen,121.0,113.0,8.0,5.0,13.0,5.0,107.08,24.2,22.6,11.5,43.36,2.6666666666666665,0.7,0.0,0.0,0.0,0.0,1.4285714285714286,1.8,0.7272727272727273,0.9411764705882353,0.0,0.0,0.4,0.0,0.0,0.6,0.0,1.2307692307692308,0.0,0.0,0.75,1.0,1.3013698630136987,0.2631578947368421,0.524,Medium,1.5101845568345758,16.025
Hiri Hiri,29.0,38.0,3.0,0.0,3.0,3.0,76.32,9.67,12.67,7.89,57.89,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.23529411764705882,0.0,0.6333333333333333,1.1111111111111112,0.125,Low,1.2078242447507945,8.006
Ibrahim Zadran,204.0,166.0,17.0,5.0,22.0,7.0,122.89,29.14,23.71,13.25,43.98,0.0,0.6,2.111111111111111,0.0,0.25,0.0,0.9230769230769231,0.8888888888888888,0.8181818181818182,1.2,0.0,1.0,1.2857142857142858,0.0,0.0,2.888888888888889,0.0,1.6111111111111112,0.0,0.0,0.8571428571428571,0.0,1.1359223300970873,1.2253521126760563,0.656,Medium,1.5334942270998397,19.002
